  59269.00,  27801.00,      7.00,  27801.00
  59269.00,  27822.00,      5.00,  27822.00
  59269.00,  27741.00,      8.00,  27741.00
  59269.00,  27768.00,      7.00,  27768.00
  59269.00,  27776.00,      7.00,  27776.00
  59269.00,  27815.00,      8.00,  27815.00
  59269.00,  27820.00,      8.00,  27820.00
  59269.00,  27882.00,      7.00,  27882.00
  59269.00,  27850.00,      4.00,  27850.00
  59269.00,  27878.00,      7.00,  27878.00
  59269.00,  27875.00,      6.00,  27875.00
  59269.00,  27828.00,      8.00,  27828.00
  59269.00,  27876.00,      6.00,  27876.00
  59269.00,  27735.00,      4.00,  27735.00
  59269.00,  27792.00,      4.00,  27792.00
  59269.00,  27833.00,      6.00,  27833.00
  59269.00,  27746.00,      5.00,  27746.00
