64411,122,6
63134,122,4
56156,122,6
56025,122,6
69299,185,6
64411,185,6
63134,185,4
59163,185,7
69299,231,8
64411,231,8
63134,231,8
59163,231,1
69299,292,8
64411,292,7
63134,292,6
59163,292,8
64411,316,6
63134,316,7
59163,316,8
56156,316,8
64411,329,6
59163,329,5
56025,329,6
52019,329,8
64411,355,4
63134,355,4
59163,355,4
56156,355,4
69299,356,10
64411,356,8
63134,356,8
59163,356,5
63134,362,5
56025,362,10
52019,362,8
38388,362,6
69299,364,6
64411,364,9
63134,364,8
59163,364,7
69299,370,8
64411,370,6
59163,370,4
56156,370,8
69299,377,8
64411,377,8
63134,377,9
59163,377,6
69299,420,8
64411,420,5
63134,420,7
59163,420,4
69299,466,6
64411,466,5
59163,466,4
56156,466,6
69299,480,10
64411,480,8
63134,480,8
59163,480,5
64411,520,5
63134,520,4
56156,520,6
56025,520,6
69299,586,10
64411,586,8
63134,586,8
59163,586,6
64411,588,8
63134,588,8
59163,588,7
56156,588,10
69299,589,10
64411,589,8
63134,589,9
59163,589,5
64411,594,7
63134,594,7
59163,594,8
56156,594,8
31095,616,6
29877,616,6
23250,616,6
71420,616,6
63134,213,6
29877,213,10
67385,213,7
59269,213,8
63134,1148,8
56156,1148,10
56025,1148,10
29877,1148,10
69299,1246,10
64411,1246,10
63134,1246,8
59163,1246,7
69299,1252,10
64411,1252,9
63134,1252,10
56156,1252,10
69299,1276,10
64411,1276,9
63134,1276,8
59163,1276,9
64411,1288,9
63134,1288,9
56156,1288,8
52019,1288,8
69299,1408,10
64411,1408,8
63134,1408,9
56025,1408,8
64411,1552,6
63134,1552,6
59163,1552,7
56156,1552,8
59269,1564,8
14463,1564,4
28215,1564,6
18987,1564,6
64411,1597,8
63134,1597,3
59163,1597,8
38388,1597,4
64411,1674,8
63134,1674,9
59163,1674,8
38388,1674,4
64411,3408,8
63134,3408,7
38388,3408,4
30158,3408,7
59163,3684,6
38388,3684,4
30158,3684,5
20012,3684,7
67542,4535,7
67385,4535,8
65692,4535,6
59269,4535,8
64411,4677,6
63134,4677,5
59163,4677,6
38388,4677,4
64411,4995,8
63134,4995,7
59163,4995,8
38388,4995,8
64411,5299,8
63134,5299,4
59163,5299,7
30158,5299,5
64411,5505,4
63134,5505,6
30158,5505,6
20012,5505,7
63134,5527,6
30158,5527,5
65692,5527,6
59269,5527,8
64411,5952,10
63134,5952,7
59163,5952,6
30158,5952,6
64411,6287,5
59163,6287,5
30158,6287,2
20012,6287,7
64411,6377,10
63134,6377,8
30158,6377,8
20012,6377,9
64411,6539,8
63134,6539,6
30158,6539,6
20012,6539,6
64411,7153,10
63134,7153,5
59163,7153,6
30158,7153,6
64411,7155,6
30158,7155,6
67385,7155,6
65692,7155,7
64411,8529,8
63134,8529,7
59163,8529,6
30158,8529,4
64411,8533,7
67542,8533,7
67385,8533,6
59269,8533,7
64411,8783,7
63134,8783,8
30158,8783,3
20012,8783,7
64411,27821,7
63134,27821,5
30158,27821,5
20012,27821,5
67542,33750,7
67385,33750,6
59269,33750,8
27468,33750,8
69299,21,6
64411,21,8
63134,21,8
56156,21,10
64411,34,9
63134,34,8
56156,34,10
56025,34,6
64411,39,9
63134,39,7
59163,39,6
56156,39,10
69299,150,10
64411,150,8
63134,150,7
59163,150,7
69299,153,6
64411,153,6
63134,153,2
59163,153,4
69299,161,10
64411,161,10
63134,161,7
59163,161,6
69299,165,8
64411,165,8
63134,165,7
59163,165,7
69299,208,6
64411,208,5
63134,208,6
59163,208,1
69299,253,6
64411,253,8
63134,253,7
59163,253,3
69299,266,8
64411,266,6
63134,266,6
59163,266,6
64411,317,8
63134,317,4
59163,317,8
56156,317,8
69299,344,8
64411,344,6
63134,344,6
59163,344,2
69299,349,10
64411,349,8
63134,349,7
59163,349,7
69299,367,8
64411,367,6
63134,367,5
59163,367,5
69299,380,8
64411,380,6
63134,380,7
59163,380,6
69299,410,4
64411,410,6
63134,410,6
59163,410,4
69299,432,6
64411,432,5
63134,432,4
59163,432,4
69299,434,8
64411,434,5
63134,434,7
59163,434,6
64411,435,5
59163,435,6
56156,435,6
29877,435,2
69299,440,8
64411,440,7
63134,440,5
59163,440,6
69299,500,10
64411,500,7
63134,500,6
59163,500,8
69299,587,10
64411,587,9
63134,587,8
59163,587,8
69299,592,6
64411,592,8
63134,592,9
59163,592,6
64411,595,8
63134,595,8
59163,595,4
56025,595,8
69299,597,10
64411,597,8
63134,597,5
59163,597,6
69299,1,6
64411,1,10
63134,1,9
59163,1,6
69299,7,10
64411,7,7
63134,7,8
59163,7,7
69299,25,10
64411,25,8
63134,25,6
56156,25,10
29877,28,8
67385,28,7
59269,28,8
48275,28,6
63134,30,8
29877,30,6
67385,30,6
59269,30,8
69299,32,8
64411,32,6
63134,32,9
56156,32,10
69299,47,10
64411,47,10
63134,47,9
59163,47,7
69299,52,6
64411,52,6
63134,52,7
56156,52,10
69299,57,6
52019,57,6
