  41154.00,   5300.00,      8.00,   5300.00
  42791.00,   5323.00,      5.00,   5323.00
  42791.00,   5476.00,      3.00,   5476.00
  42791.00,   5501.00,      2.00,   5501.00
  42791.00,   5523.00,      5.00,   5523.00
  41154.00,   5556.00,      5.00,   5556.00
  41084.00,   5833.00,      7.00,   5833.00
  41154.00,   5999.00,     10.00,   5999.00
  42791.00,   6040.00,      3.00,   6040.00
  42447.00,   6695.00,      6.00,   6695.00
  41154.00,   6790.00,      8.00,   6790.00
  41154.00,   7175.00,      7.00,   7175.00
  42791.00,   5307.00,      5.00,   5307.00
  42791.00,   5882.00,      6.00,   5882.00
  41084.00,   5442.00,      3.00,   5442.00
  42791.00,   5244.00,      8.00,   5244.00
  42791.00,   5276.00,      4.00,   5276.00
  42791.00,   6100.00,      7.00,   6100.00
  42791.00,   6143.00,      2.00,   6143.00
  41154.00,   6254.00,      3.00,   6254.00
  41154.00,   7116.00,      4.00,   7116.00
  42447.00,   5288.00,      8.00,   5288.00
  41084.00,   5288.00,      7.00,   5288.00
  42791.00,   5468.00,      6.00,   5468.00
  41154.00,   5981.00,      6.00,   5981.00
  41154.00,   7236.00,      7.00,   7236.00
  42447.00,   6350.00,      8.00,   6350.00
  42791.00,   5691.00,      4.00,   5691.00
  42791.00,   5969.00,      3.00,   5969.00
  42447.00,   5690.00,      9.00,   5690.00
  42791.00,   5310.00,      4.00,   5310.00
  42791.00,   5458.00,      3.00,   5458.00
  41154.00,   5460.00,      3.00,   5460.00
  42791.00,   5546.00,      3.00,   5546.00
  42447.00,   5584.00,      6.00,   5584.00
  42791.00,   5768.00,      3.00,   5768.00
  42791.00,   5885.00,      6.00,   5885.00
  42791.00,   6025.00,      6.00,   6025.00
  41084.00,   6025.00,      5.00,   6025.00
  42791.00,   6348.00,      2.00,   6348.00
  41084.00,   5298.00,      6.00,   5298.00
  42791.00,   5356.00,      2.00,   5356.00
  42791.00,   5569.00,      6.00,   5569.00
  42791.00,   5726.00,      8.00,   5726.00
